序号,动作,置信度,状态
1,模型未加载,0.0,正常
2,模型未加载,0.0,疲劳
3,模型未加载,0.0,正常
4,模型未加载,0.0,正常
5,模型未加载,0.0,疲劳
6,模型未加载,0.0,正常
7,模型未加载,0.0,疲劳
8,模型未加载,0.0,正常
9,模型未加载,0.0,正常
10,模型未加载,0.0,疲劳
11,模型未加载,0.0,正常
12,模型未加载,0.0,疲劳
13,模型未加载,0.0,正常
14,模型未加载,0.0,正常
15,模型未加载,0.0,疲劳
16,模型未加载,0.0,正常
17,模型未加载,0.0,疲劳
18,模型未加载,0.0,正常
19,模型未加载,0.0,正常
20,模型未加载,0.0,疲劳
